experiment_type,plot_type,dataset,horizon,seed,metric,value
W1,forest_plot,ETTm1,336,23,cka_full_mean_per,0.9476951035350648
W1,forest_plot,ETTm1,336,23,cka_full_mean_last,0.962777000589336
W1,forest_plot,ETTm1,336,23,delta_cka_global,-0.01508189705427121
W1,forest_plot,ETTm1,336,23,grad_align_mean_per,0.0042043491013046
W1,forest_plot,ETTm1,336,23,grad_align_mean_last,-0.0026698043566257
W1,forest_plot,ETTm1,336,23,delta_grad_align_all,0.0068741534579303
W1,forest_plot,ETTm1,720,42,rmse_per,3.324168114102816
W1,forest_plot,ETTm1,720,42,rmse_last,3.413453770191615
W1,forest_plot,ETTm1,720,42,delta_rmse,0.08928565608879913
W1,forest_plot,ETTm1,720,42,delta_rmse_pct,2.615698412806893
W1,forest_plot,ETTm1,720,42,cka_full_mean_per,0.9659087972528444
W1,forest_plot,ETTm1,720,42,cka_full_mean_last,0.9610710501959454
W1,forest_plot,ETTm1,720,42,delta_cka_global,0.004837747056898989
W1,forest_plot,ETTm1,720,42,grad_align_mean_per,-0.0006441045419041
W1,forest_plot,ETTm1,720,42,grad_align_mean_last,0.0049104513878131
W1,forest_plot,ETTm1,720,42,delta_grad_align_all,-0.0055545559297172
W1,forest_plot,ETTm1,720,2,rmse_per,3.307354943979232
W1,forest_plot,ETTm1,720,2,rmse_last,3.462669886198176
W1,forest_plot,ETTm1,720,2,delta_rmse,0.15531494221894437
W1,forest_plot,ETTm1,720,2,delta_rmse_pct,4.485410025310607
W1,forest_plot,ETTm1,720,2,cka_full_mean_per,0.9636301532327816
W1,forest_plot,ETTm1,720,2,cka_full_mean_last,0.9691174954591228
W1,forest_plot,ETTm1,720,2,delta_cka_global,-0.005487342226341285
W1,forest_plot,ETTm1,720,2,grad_align_mean_per,-0.0021880841208333
W1,forest_plot,ETTm1,720,2,grad_align_mean_last,0.0004371334856961
W1,forest_plot,ETTm1,720,2,delta_grad_align_all,-0.0026252176065293996
W1,forest_plot,ETTm1,720,3,rmse_per,3.31676151453114
W1,forest_plot,ETTm1,720,3,rmse_last,3.395263733318315
W1,forest_plot,ETTm1,720,3,delta_rmse,0.0785022187871749
W1,forest_plot,ETTm1,720,3,delta_rmse_pct,2.3121096018791985
W1,forest_plot,ETTm1,720,3,cka_full_mean_per,0.9749745603202572
W1,forest_plot,ETTm1,720,3,cka_full_mean_last,0.98253323507504
W1,forest_plot,ETTm1,720,3,delta_cka_global,-0.007558674754782779
W1,forest_plot,ETTm1,720,3,grad_align_mean_per,0.0009523396546929
W1,forest_plot,ETTm1,720,3,grad_align_mean_last,-0.0011245925559859
W1,forest_plot,ETTm1,720,3,delta_grad_align_all,0.0020769322106788
W1,forest_plot,ETTm1,720,5,rmse_per,3.3106469783445904
W1,forest_plot,ETTm1,720,5,rmse_last,3.408373949202185
W1,forest_plot,ETTm1,720,5,delta_rmse,0.09772697085759452
W1,forest_plot,ETTm1,720,5,delta_rmse_pct,2.8672608203823984
W1,forest_plot,ETTm1,720,5,cka_full_mean_per,0.9676048652957012
W1,forest_plot,ETTm1,720,5,cka_full_mean_last,0.9782934789539806
W1,forest_plot,ETTm1,720,5,delta_cka_global,-0.010688613658279333
W1,forest_plot,ETTm1,720,5,grad_align_mean_per,-0.0044575454938411
W1,forest_plot,ETTm1,720,5,grad_align_mean_last,-0.0020165732399589
W1,forest_plot,ETTm1,720,5,delta_grad_align_all,-0.0024409722538822
W1,forest_plot,ETTm1,720,7,rmse_per,3.3349619383691764
W1,forest_plot,ETTm1,720,7,rmse_last,3.418640419495748
W1,forest_plot,ETTm1,720,7,delta_rmse,0.08367848112657139
W1,forest_plot,ETTm1,720,7,delta_rmse_pct,2.4477122732584444
W1,forest_plot,ETTm1,720,7,cka_full_mean_per,0.967116947302561
W1,forest_plot,ETTm1,720,7,cka_full_mean_last,0.9749327343328243
W1,forest_plot,ETTm1,720,7,delta_cka_global,-0.00781578703026331
W1,forest_plot,ETTm1,720,7,grad_align_mean_per,0.0043425882156907
W1,forest_plot,ETTm1,720,7,grad_align_mean_last,-0.0009604197171325
W1,forest_plot,ETTm1,720,7,delta_grad_align_all,0.0053030079328232
W1,forest_plot,ETTm1,720,11,rmse_per,3.312259737334305
W1,forest_plot,ETTm1,720,11,rmse_last,3.439880240595756
W1,forest_plot,ETTm1,720,11,delta_rmse,0.12762050326145102
W1,forest_plot,ETTm1,720,11,delta_rmse_pct,3.710027510706254
W1,forest_plot,ETTm1,720,11,cka_full_mean_per,0.9689022901387097
W1,forest_plot,ETTm1,720,11,cka_full_mean_last,0.9746748034024146
W1,forest_plot,ETTm1,720,11,delta_cka_global,-0.005772513263704981
W1,forest_plot,ETTm1,720,11,grad_align_mean_per,-0.003213421072031
W1,forest_plot,ETTm1,720,11,grad_align_mean_last,0.000393757168849
W1,forest_plot,ETTm1,720,11,delta_grad_align_all,-0.00360717824088
W1,forest_plot,ETTm1,720,13,rmse_per,3.334985244237921
W1,forest_plot,ETTm1,720,13,rmse_last,3.415999991030548
W1,forest_plot,ETTm1,720,13,delta_rmse,0.08101474679262699
W1,forest_plot,ETTm1,720,13,delta_rmse_pct,2.3716260832947555
W1,forest_plot,ETTm1,720,13,cka_full_mean_per,0.9713503751319856
W1,forest_plot,ETTm1,720,13,cka_full_mean_last,0.97998283941189
W1,forest_plot,ETTm1,720,13,delta_cka_global,-0.008632464279904384
W1,forest_plot,ETTm1,720,13,grad_align_mean_per,-0.0029792709432084
W1,forest_plot,ETTm1,720,13,grad_align_mean_last,-0.0019939117746484
W1,forest_plot,ETTm1,720,13,delta_grad_align_all,-0.00098535916856
W1,forest_plot,ETTm1,720,17,rmse_per,3.317588209116459
W1,forest_plot,ETTm1,720,17,rmse_last,3.4321384579043537
W1,forest_plot,ETTm1,720,17,delta_rmse,0.11455024878789466
W1,forest_plot,ETTm1,720,17,delta_rmse_pct,3.3375765632088883
W1,forest_plot,ETTm1,720,17,cka_full_mean_per,0.9701319635506446
W1,forest_plot,ETTm1,720,17,cka_full_mean_last,0.964425487004892
W1,forest_plot,ETTm1,720,17,delta_cka_global,0.005706476545752626
