experiment_type,dataset,plot_type,horizon,seed,mode,model_tag,run_tag,tod,stage,gate_mean,sample_count
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,22,S,0.49855781253427267,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,23,S,0.49855781253427267,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,0,M,0.49729815777391195,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,1,M,0.49729815777391195,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,2,M,0.49729815777391195,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,3,M,0.49729815777391195,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,4,M,0.49729815777391195,138
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,5,M,,0
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,6,M,0.49729815777391195,138
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,7,M,,0
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,8,M,0.49729815777391195,138
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,9,M,0.49729815777391195,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,10,M,,0
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,11,M,0.49729815777391195,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,12,M,0.49729815777391195,70
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,13,M,0.49729815777391195,140
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,14,M,,0
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,15,M,0.49729815777391195,70
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,16,M,0.49729815777391195,70
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,17,M,0.49729815777391195,70
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,18,M,0.49729815777391195,70
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,19,M,0.49729815777391195,139
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,20,M,,0
