experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,weather,cka_heatmap,96,13,per_layer,3,4,M,D,0.986218
W1,weather,cka_heatmap,96,13,per_layer,3,5,M,D,0.973819
W1,weather,cka_heatmap,96,13,per_layer,3,6,M,D,0.975266
W1,weather,cka_heatmap,96,13,per_layer,4,4,D,D,0.985551
W1,weather,cka_heatmap,96,13,per_layer,4,5,D,D,0.976381
W1,weather,cka_heatmap,96,13,per_layer,4,6,D,D,0.978227
W1,weather,cka_heatmap,96,13,per_layer,5,5,D,D,0.984235
W1,weather,cka_heatmap,96,13,per_layer,5,6,D,D,0.986454
W1,weather,cka_heatmap,96,13,per_layer,6,6,D,D,0.986543
W1,weather,cka_heatmap,96,13,last_layer,0,0,S,S,0.986242
W1,weather,cka_heatmap,96,13,last_layer,0,1,S,S,0.9624
W1,weather,cka_heatmap,96,13,last_layer,0,2,S,M,0.968268
W1,weather,cka_heatmap,96,13,last_layer,0,3,S,M,0.981996
W1,weather,cka_heatmap,96,13,last_layer,0,4,S,D,0.973402
W1,weather,cka_heatmap,96,13,last_layer,0,5,S,D,0.960223
W1,weather,cka_heatmap,96,13,last_layer,0,6,S,D,0.941306
W1,weather,cka_heatmap,96,13,last_layer,1,1,S,S,0.963838
W1,weather,cka_heatmap,96,13,last_layer,1,2,S,M,0.969716
W1,weather,cka_heatmap,96,13,last_layer,1,3,S,M,0.983149
W1,weather,cka_heatmap,96,13,last_layer,1,4,S,D,0.974176
W1,weather,cka_heatmap,96,13,last_layer,1,5,S,D,0.960676
W1,weather,cka_heatmap,96,13,last_layer,1,6,S,D,0.941676
W1,weather,cka_heatmap,96,13,last_layer,2,2,M,M,0.968217
